id,name,sku,price,gstPercentage,stockQuantity,bottlesPerCrate,isActive,createdAt,updatedAt,hsnCode,groupName,sellingPrice
1,200ML ORANGE,,4.4047,40.0,17150,30,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:01.579+00,,ORANGE,5.0
2,500ML ORANGE,,9.8808,40.0,6599,24,True,2026-02-14 16:46:55.452+00,2026-03-08 09:53:31.912+00,,ORANGE,16.0
3,1L ORANGE,,22.0283,40.0,162,12,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:02.174+00,,ORANGE,22.0283
4,2L ORANGE,,39.8567,40.0,23,9,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:02.471+00,,ORANGE,39.8567
6,200 ML LEMON,,4.4047,40.0,25665,30,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:02.768+00,,LEMON,5.0
7,500ML LEMON (24PCS),,9.88,40.0,11776,24,True,2026-02-14 16:46:55.452+00,2026-03-08 09:53:31.603+00,,LEMON,9.88
8,LEMON 1L (12 PCS),,22.0283,40.0,176,12,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:03.36+00,,LEMON,22.0283
9,LEMON 2L (9PCS),,39.8567,40.0,28,9,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:03.656+00,,LEMON,39.8567
10,LEMON TIN(24PCS),,12.4704,40.0,2437,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:03.953+00,,LEMON,12.4704
11,ORANGE TIN (24PCS),,12.4704,40.0,2153,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:04.251+00,,ORANGE,12.4704
12,COKE TIN(24PCS),,12.4704,40.0,2440,24,True,2026-02-14 16:46:55.452+00,2026-03-07 11:02:05.046+00,,COKE,12.4704
13,COKE 200ML(30PCS),,4.4047,40.0,17157,30,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:04.844+00,,COKE,4.4047
14,COKE 500ML(24PCS),,14.1667,40.0,5794,24,True,2026-02-14 16:46:55.452+00,2026-03-11 17:47:52.629+00,,COKE,16.0
15,COKE 1L(12PCS),,10.0,40.0,573,24,True,2026-02-14 16:46:55.452+00,2026-03-11 15:35:26.596+00,,COKE,10.0
16,COKE 2L(9PCS),,39.8567,40.0,13,9,True,2026-02-14 16:46:55.452+00,2026-03-11 15:35:26.754+00,,COKE,39.8567
17,200ML MANGO (30PCS),,5.7143,5.0,26030,30,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:06.03+00,,MANGO,5.7143
19,150 ML MIXED FRUIT(30PCS),,5.7143,40.0,1800,30,True,2026-02-14 16:46:55.452+00,2026-02-25 12:13:49.794+00,,MIXED FRUIT,5.7143
20,POWER UP 200ML (30PCS),,4.4047,40.0,4780,30,True,2026-02-14 16:46:55.452+00,2026-03-11 16:42:51.497+00,,POWER UP,4.4047
21,POWER UP 1L(12PCS),,20.0,40.0,76,12,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:06.623+00,,POWER UP,20.0
22,150ML STRAWBERRY KICK(30PCS),,4.2857,40.0,5862,30,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:06.92+00,,ENERGY DRINK,4.2857
23,250ML ENERGY BERRY KICK(30PCS),,8.0713,40.0,2070,30,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:07.217+00,,ENERGY DRINK,8.0713
24,SUNCRUSH ORANGE 200ML(24PCS),,13.3333,5.0,2834,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:07.513+00,,SUNCRUSH,13.3333
25,SUNCRUSH MANGO(24PCS),,13.3333,5.0,2195,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:07.81+00,,SUNCRUSH,13.3333
26,SUNCRUSH MIXED FRUIT (24PCS),,13.3333,5.0,1784,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:08.107+00,,SUNCRUSH,13.3333
27,CHOCO MILKSHAKE(30PCS),,22.2857,5.0,442,30,True,2026-02-14 16:46:55.452+00,2026-03-08 06:27:13.629+00,,MILKSHAKE,22.2857
28,750ml INDEPENDENCE WATER (15PCS),,5.1587,5.0,2000,15,True,2026-02-14 16:46:55.452+00,2026-03-13 16:53:19.869+00,,INDEPENDENCE WATER,5.1587
29,1.5l INDEPENDENCE,,7.54,5.0,4143,9,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:08.997+00,,INDEPENDENCE WATER,7.54
30,1L a Sure water,,7.1425,5.0,7914,12,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:09.294+00,,A SURE WATER,7.1425
31,200ML PANNER SODA(30PCS),,4.2857,40.0,15764,30,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:09.591+00,,PANNEER SODA,4.2857
32,gluco energy cup,,5.8333,5.0,3825,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:09.888+00,,RASKIK GLUCO CUP,5.8333
33,gluco nimbu paani,,5.8333,5.0,3834,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:10.185+00,,RASKIK GLUCO CUP,5.8333
34,ENERGY GOLD TIN,,16.3712,40.0,3299,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:10.483+00,,ENERGY DRINK,16.3712
35,500ML MANGO,,8.9287,5.0,3340,24,True,2026-02-14 16:46:55.452+00,2026-03-08 09:53:30.981+00,,MANGO,8.9287
36,500ml panner soda,,9.6129,40.0,1180,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:11.075+00,,PANNEER SODA,9.6129
37,Nimbu paani pet,,7.1429,5.0,2228,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:11.372+00,,RASKIK GLUCO CUP,7.1429
38,500ml soda,,8.5333,40.0,798,24,True,2026-02-14 16:46:55.452+00,2026-03-11 16:42:51.342+00,,SODA,8.5333
39,2.25l lemon,,47.3933,40.0,842,9,True,2026-02-14 16:46:55.452+00,2026-03-08 06:27:38.906+00,,LEMON,73.0
40,2.25 orange,,47.3933,40.0,749,9,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:12.261+00,,ORANGE,47.3933
41,2.25 coke,,47.3933,40.0,106,9,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:12.557+00,,COKE,47.3933
42,gluco energy pet,,7.2221,5.0,1138,24,True,2026-02-14 16:46:55.452+00,2026-03-01 12:26:39.775+00,,RASKIK GLUCO CUP,7.2221
43,150ml apple pet,,7.2221,40.0,231,24,True,2026-02-14 16:46:55.452+00,2026-02-25 12:14:13.151+00,,MIXED FRUIT,7.2221
44,150ml mango tetra pack 40pc,,6.6667,5.0,100,40,True,2026-03-14 18:24:14.000+00,2026-03-14 18:24:14.000+00,,MANGO,6.6667
45,1.5l INDEPENDENCE 12PC,,11.425,5.0,100,12,True,2026-03-14 18:24:14.000+00,2026-03-14 18:24:14.000+00,,INDEPENDENCE WATER,11.425
